Time (s),Channel 1 (V),Channel 2 (V)
0.00057475,2.331075801,2.464941496
0.0005808,2.331932582,2.46460185
0.00058685,2.332007085,2.463507434
0.0005929,2.332379598,2.462828141
0.00059895,2.33435392,2.463998034
0.000605,2.335061696,2.463696126
0.00061105,2.334614679,2.462526234
0.0006171,2.335136198,2.46211111
0.00062315,2.335620466,2.461658249
0.0006292,2.335843974,2.461733726
0.00063525,2.335657717,2.461054433
0.0006413,2.336253739,2.460978956
0.00064735,2.33684976,2.460903479
0.0006534,2.336365493,2.459733586
0.00065945,2.336141985,2.458978817
0.0006655,2.337073268,2.459733586
0.00067155,2.337706541,2.460073233
0.0006776,2.336589001,2.458563693
0.00068365,2.336402744,2.458224047
0.0006897,2.337036017,2.458525955
0.00069575,2.336663504,2.458261786
0.0007018,2.336812509,2.458488217
0.00070785,2.336104733,2.457544755
0.0007139,2.334391171,2.455846523
0.00071995,2.334391171,2.455808785
0.000726,2.33547146,2.457242847
0.00073205,2.33491269,2.456714508
0.0007381,2.33353439,2.4554314
0.00074415,2.332677609,2.455091754
0.0007502,2.332603106,2.455506877
0.00075625,2.332379598,2.455808785
0.0007623,2.330740539,2.454336984
0.00076835,2.329622998,2.453355784
0.0007744,2.329026977,2.453393522
0.00078045,2.327834934,2.452902922
0.0007865,2.327276163,2.452827445
0.00079255,2.326233125,2.45245006
0.0007986,2.324929328,2.451657552
0.00080465,2.324333307,2.451695291
0.0008107,2.322843253,2.451053736
0.00081675,2.321315947,2.450185751
0.0008228,2.319825893,2.449657413
0.00082885,2.317702566,2.448713951
0.0008349,2.316361518,2.448223351
0.00084095,2.315802747,2.448638474
0.000847,2.314126436,2.448147874
0.00085305,2.31230112,2.447619535
0.0008591,2.309991537,2.446676073
0.00086515,2.308054466,2.445732611
0.0008712,2.306601664,2.445128795
0.00087725,2.30429208,2.44377021
0.0008833,2.302504015,2.443468302
0.00088935,2.301684485,2.44403438
0.0008954,2.299039639,2.442373887
